
Starting Episode:  247 , Epsilon Now:  0.925 , Reward:  156.92 , Average Reward:  94.905
Starting Episode:  248 , Epsilon Now:  0.924 , Reward:  205.55 , Average Reward:  95.355
Starting Episode:  249 , Epsilon Now:  0.924 , Reward:  60.52 , Average Reward:  95.2155
Starting Episode:  250 , Epsilon Now:  0.924 , Reward:  43.72 , Average Reward:  95.0055
Starting Episode:  251 , Epsilon Now:  0.923 , Reward:  42.59 , Average Reward:  94.7955
Starting Episode:  252 , Epsilon Now:  0.923 , Reward:  90.87 , Average Reward:  94.7755
Starting Episode:  253 , Epsilon Now:  0.923 , Reward:  33.76 , Average Reward:  94.5355
Starting Episode:  254 , Epsilon Now:  0.923 , Reward:  55.68 , Average Reward:  94.3855
Starting Episode:  255 , Epsilon Now:  0.922 , Reward:  71.06 , Average Reward:  94.2955
Starting Episode:  256 , Epsilon Now:  0.922 , Reward:  71.91 , Average Reward:  94.2055
Starting Episode:  257 , Epsilon Now:  0.922 , Reward:  133.85 , Average Reward:  94.355
Starting Episode:  258 , Epsilon Now:  0.921 , Reward:  249.70 , Average Reward:  94.965
Starting Episode:  259 , Epsilon Now:  0.921 , Reward:  22.75 , Average Reward:  94.6865
Starting Episode:  260 , Epsilon Now:  0.921 , Reward:  120.14 , Average Reward:  94.785
Starting Episode:  261 , Epsilon Now:  0.920 , Reward:  42.93 , Average Reward:  94.5885
Starting Episode:  262 , Epsilon Now:  0.920 , Reward:  -9.54 , Average Reward:  94.1885
Starting Episode:  263 , Epsilon Now:  0.920 , Reward:  145.88 , Average Reward:  94.385
Starting Episode:  264 , Epsilon Now:  0.920 , Reward:  114.65 , Average Reward:  94.455
Starting Episode:  265 , Epsilon Now:  0.919 , Reward:  86.44 , Average Reward:  94.4255
Starting Episode:  266 , Epsilon Now:  0.919 , Reward:  36.36 , Average Reward:  94.2055
Starting Episode:  267 , Epsilon Now:  0.918 , Reward:  202.77 , Average Reward:  94.615
Starting Episode:  268 , Epsilon Now:  0.918 , Reward:  275.31 , Average Reward:  95.295
Starting Episode:  269 , Epsilon Now:  0.918 , Reward:  25.62 , Average Reward:  95.0395
Starting Episode:  270 , Epsilon Now:  0.917 , Reward:  77.93 , Average Reward:  94.9795
Starting Episode:  271 , Epsilon Now:  0.917 , Reward:  62.03 , Average Reward:  94.8495
Starting Episode:  272 , Epsilon Now:  0.917 , Reward:  49.96 , Average Reward:  94.6895
Starting Episode:  273 , Epsilon Now:  0.917 , Reward:  -8.73 , Average Reward:  94.3095
Starting Episode:  274 , Epsilon Now:  0.917 , Reward:  10.93 , Average Reward:  93.9995
Starting Episode:  275 , Epsilon Now:  0.916 , Reward:  56.53 , Average Reward:  93.8695
Starting Episode:  276 , Epsilon Now:  0.916 , Reward:  49.48 , Average Reward:  93.6995
Starting Episode:  277 , Epsilon Now:  0.916 , Reward:  52.47 , Average Reward:  93.5495
Starting Episode:  278 , Epsilon Now:  0.916 , Reward:  56.22 , Average Reward:  93.4195
Starting Episode:  279 , Epsilon Now:  0.916 , Reward:  23.69 , Average Reward:  93.1695
Starting Episode:  280 , Epsilon Now:  0.915 , Reward:  139.55 , Average Reward:  93.335
Starting Episode:  281 , Epsilon Now:  0.915 , Reward:  133.27 , Average Reward:  93.475
Starting Episode:  282 , Epsilon Now:  0.915 , Reward:  29.21 , Average Reward:  93.2475
Starting Episode:  283 , Epsilon Now:  0.914 , Reward:  73.39 , Average Reward:  93.1775
Starting Episode:  284 , Epsilon Now:  0.914 , Reward:  107.85 , Average Reward:  93.225
Starting Episode:  285 , Epsilon Now:  0.914 , Reward:  61.43 , Average Reward:  93.1125
Starting Episode:  286 , Epsilon Now:  0.914 , Reward:  26.09 , Average Reward:  92.8725
Starting Episode:  287 , Epsilon Now:  0.913 , Reward:  28.24 , Average Reward:  92.6525
Starting Episode:  288 , Epsilon Now:  0.913 , Reward:  59.46 , Average Reward:  92.5325
Starting Episode:  289 , Epsilon Now:  0.913 , Reward:  109.68 , Average Reward:  92.595
Starting Episode:  290 , Epsilon Now:  0.913 , Reward:  38.79 , Average Reward:  92.4195
Starting Episode:  291 , Epsilon Now:  0.912 , Reward:  43.31 , Average Reward:  92.2495
Starting Episode:  292 , Epsilon Now:  0.912 , Reward:  2.18 , Average Reward:  91.93495
Starting Episode:  293 , Epsilon Now:  0.912 , Reward:  13.95 , Average Reward:  91.6695
Starting Episode:  294 , Epsilon Now:  0.912 , Reward:  60.40 , Average Reward:  91.5595
Starting Episode:  295 , Epsilon Now:  0.912 , Reward:  14.84 , Average Reward:  91.2995
Starting Episode:  296 , Epsilon Now:  0.912 , Reward:  50.23 , Average Reward:  91.1595
Starting Episode:  297 , Epsilon Now:  0.911 , Reward:  95.29 , Average Reward:  91.1795
Starting Episode:  298 , Epsilon Now:  0.911 , Reward:  85.03 , Average Reward:  91.1595
Starting Episode:  299 , Epsilon Now:  0.911 , Reward:  38.63 , Average Reward:  90.9795
Starting Episode:  300 , Epsilon Now:  0.910 , Reward:  77.11 , Average Reward:  90.9295
Starting Episode:  301 , Epsilon Now:  0.910 , Reward:  73.64 , Average Reward:  90.8795
Starting Episode:  302 , Epsilon Now:  0.910 , Reward:  46.81 , Average Reward:  90.7295
Starting Episode:  303 , Epsilon Now:  0.910 , Reward:  52.28 , Average Reward:  90.5995
Starting Episode:  304 , Epsilon Now:  0.909 , Reward:  99.26 , Average Reward:  90.6295
Starting Episode:  305 , Epsilon Now:  0.909 , Reward:  52.15 , Average Reward:  90.4995
Starting Episode:  306 , Epsilon Now:  0.909 , Reward:  120.14 , Average Reward:  90.595
Starting Episode:  307 , Epsilon Now:  0.909 , Reward:  48.29 , Average Reward:  90.4595
Starting Episode:  308 , Epsilon Now:  0.908 , Reward:  196.05 , Average Reward:  90.805
Starting Episode:  309 , Epsilon Now:  0.908 , Reward:  77.14 , Average Reward:  90.7505
Starting Episode:  310 , Epsilon Now:  0.908 , Reward:  41.14 , Average Reward:  90.5905
Starting Episode:  311 , Epsilon Now:  0.907 , Reward:  54.71 , Average Reward:  90.4805
Starting Episode:  312 , Epsilon Now:  0.907 , Reward:  25.36 , Average Reward:  90.2705
Starting Episode:  313 , Epsilon Now:  0.907 , Reward:  9.66 , Average Reward:  90.01705
Starting Episode:  314 , Epsilon Now:  0.906 , Reward:  200.07 , Average Reward:  90.365
Starting Episode:  315 , Epsilon Now:  0.906 , Reward:  132.65 , Average Reward:  90.505
Starting Episode:  316 , Epsilon Now:  0.906 , Reward:  50.04 , Average Reward:  90.3705
Starting Episode:  317 , Epsilon Now:  0.906 , Reward:  118.04 , Average Reward:  90.455
Starting Episode:  318 , Epsilon Now:  0.905 , Reward:  167.76 , Average Reward:  90.705
Starting Episode:  319 , Epsilon Now:  0.905 , Reward:  17.47 , Average Reward:  90.4705
Starting Episode:  320 , Epsilon Now:  0.905 , Reward:  52.85 , Average Reward:  90.3505
Starting Episode:  321 , Epsilon Now:  0.904 , Reward:  45.03 , Average Reward:  90.2105
Starting Episode:  322 , Epsilon Now:  0.904 , Reward:  57.30 , Average Reward:  90.1105
Starting Episode:  323 , Epsilon Now:  0.904 , Reward:  137.76 , Average Reward:  90.255
Starting Episode:  324 , Epsilon Now:  0.904 , Reward:  55.17 , Average Reward:  90.1555
Starting Episode:  325 , Epsilon Now:  0.903 , Reward:  27.55 , Average Reward:  89.9555
Starting Episode:  326 , Epsilon Now:  0.903 , Reward:  3.88 , Average Reward:  89.69555
Starting Episode:  327 , Epsilon Now:  0.903 , Reward:  66.30 , Average Reward:  89.6255
Starting Episode:  328 , Epsilon Now:  0.903 , Reward:  48.90 , Average Reward:  89.4955
Starting Episode:  329 , Epsilon Now:  0.903 , Reward:  109.01 , Average Reward:  89.555
Starting Episode:  330 , Epsilon Now:  0.902 , Reward:  -8.84 , Average Reward:  89.2555
Starting Episode:  331 , Epsilon Now:  0.902 , Reward:  88.14 , Average Reward:  89.2555
Starting Episode:  332 , Epsilon Now:  0.902 , Reward:  -9.54 , Average Reward:  88.9555
Starting Episode:  333 , Epsilon Now:  0.902 , Reward:  25.38 , Average Reward:  88.7655
Starting Episode:  334 , Epsilon Now:  0.902 , Reward:  17.93 , Average Reward:  88.5555
Starting Episode:  335 , Epsilon Now:  0.901 , Reward:  127.12 , Average Reward:  88.665
Starting Episode:  336 , Epsilon Now:  0.901 , Reward:  51.97 , Average Reward:  88.5565
Starting Episode:  337 , Epsilon Now:  0.901 , Reward:  127.63 , Average Reward:  88.675
Starting Episode:  338 , Epsilon Now:  0.901 , Reward:  28.46 , Average Reward:  88.4975
Starting Episode:  339 , Epsilon Now:  0.900 , Reward:  84.99 , Average Reward:  88.4875
Starting Episode:  340 , Epsilon Now:  0.900 , Reward:  -8.82 , Average Reward:  88.1975
Starting Episode:  341 , Epsilon Now:  0.900 , Reward:  71.17 , Average Reward:  88.1475
Starting Episode:  342 , Epsilon Now:  0.899 , Reward:  31.13 , Average Reward:  87.9775
Starting Episode:  343 , Epsilon Now:  0.899 , Reward:  23.98 , Average Reward:  87.7975
Starting Episode:  344 , Epsilon Now:  0.899 , Reward:  133.03 , Average Reward:  87.925
Starting Episode:  345 , Epsilon Now:  0.899 , Reward:  63.83 , Average Reward:  87.8525
Starting Episode:  346 , Epsilon Now:  0.899 , Reward:  37.01 , Average Reward:  87.7025
Starting Episode:  347 , Epsilon Now:  0.898 , Reward:  15.90 , Average Reward:  87.4925
Starting Episode:  348 , Epsilon Now:  0.898 , Reward:  23.91 , Average Reward:  87.3125
Starting Episode:  349 , Epsilon Now:  0.898 , Reward:  85.98 , Average Reward:  87.3125
Starting Episode:  350 , Epsilon Now:  0.898 , Reward:  15.81 , Average Reward:  87.1025
Starting Episode:  351 , Epsilon Now:  0.897 , Reward:  43.45 , Average Reward:  86.9825
Starting Episode:  352 , Epsilon Now:  0.897 , Reward:  52.46 , Average Reward:  86.8825
Starting Episode:  353 , Epsilon Now:  0.897 , Reward:  16.68 , Average Reward:  86.6825
Starting Episode:  354 , Epsilon Now:  0.897 , Reward:  177.43 , Average Reward:  86.945
Starting Episode:  355 , Epsilon Now:  0.896 , Reward:  83.24 , Average Reward:  86.9345
Starting Episode:  356 , Epsilon Now:  0.896 , Reward:  104.81 , Average Reward:  86.985
Starting Episode:  357 , Epsilon Now:  0.896 , Reward:  122.07 , Average Reward:  87.085
Starting Episode:  358 , Epsilon Now:  0.895 , Reward:  188.57 , Average Reward:  87.365
Starting Episode:  359 , Epsilon Now:  0.895 , Reward:  10.29 , Average Reward:  87.1465
Starting Episode:  360 , Epsilon Now:  0.895 , Reward:  69.14 , Average Reward:  87.0965
Starting Episode:  361 , Epsilon Now:  0.895 , Reward:  5.69 , Average Reward:  86.87965
Starting Episode:  362 , Epsilon Now:  0.894 , Reward:  24.27 , Average Reward:  86.6965
