episode,timestep,reward
316,107111,64.73911828717279
317,107354,64.57136311415088
318,107583,64.41396845822338
319,107877,64.33910715712258
320,108125,64.17499664397567
321,108350,64.03009271384285
322,108597,63.901305464957034
323,108940,63.80782376769293
324,109209,63.68026754177279
325,109484,63.545429035296145
326,109694,63.354189546080086
327,109966,63.24802948764792
328,110135,63.02628091477207
329,110400,62.9224949696692
330,110705,62.85341656826704
331,110985,62.786241945860176
332,111289,62.705650424428214
333,111538,62.53481232900578
334,111840,62.44557202537094
335,112105,62.355204012772674
336,112458,62.361795546321595
337,112763,62.315034290728235
338,113053,62.23171862918192
339,113307,62.11570825816054
340,113647,62.0440861666431
341,113955,61.99335475179827
342,114249,61.91684781128753
343,114579,61.84527031495107
344,114931,61.83229615233581
345,115242,61.76291779899653
346,115421,61.582911592294145
347,115666,61.51250983074442
348,115848,61.4065861347958
349,116007,61.23592350809256
350,116336,61.156824375805215
351,116648,61.11332906407733
352,116912,61.04750214097271
353,117110,60.923467819419486
354,117321,60.81779692055796
355,117608,60.78900515347622
356,117828,60.65598502457219
357,118155,60.65732162040717
358,118579,60.717137057965935
359,118853,60.634108855083184
360,119072,60.51746565993005
361,119335,60.43688080476943
362,119690,60.41525658293729
363,119991,60.32635414612429
364,120322,60.320467152192585
365,120643,60.312176537878564
366,121062,60.37571945709977
367,121406,60.334994461739655
368,121665,60.21514499530571
369,122049,60.27909841965002
370,122418,60.277282476371994
371,122758,60.27945809305856
372,123244,60.38415480225509
373,123495,60.263167320871055
374,123700,60.169206031670946
375,123870,60.01056649199105
376,123871,59.82436817685277
377,124140,59.775035168712265
378,124334,59.68261466777541
379,124508,59.538941627354816
380,124704,59.45237862366968
381,124873,59.29168764014269
382,125031,59.143979753159506
383,125202,59.03754566642717
384,125422,58.96746356440347
385,125592,58.83815187147787
386,125805,58.756793152491035
387,125969,58.59868259823067
388,126123,58.44617642950333
389,126326,58.38902808496649
390,126570,58.34716840086062
391,126908,58.35601401673953
392,127152,58.24437957408029
393,127399,58.15723882562187
394,127642,58.06398619354242
395,127919,58.041220480001954
396,128220,58.01862423612237
397,128509,57.95361115732554
398,128777,57.908468775503266
399,129037,57.826193025613
400,129335,57.78382963273159
401,129630,57.78196180408205
402,129935,57.77981539873233
403,130207,57.78813761036067
404,130454,57.72363130336725
405,130758,57.67522860931235
406,130949,57.54062347540801
407,131202,57.495092818286075
408,131937,57.90610673260628
409,132335,57.92910400767173
410,132722,57.92944362062068
411,133039,57.88192947490316
412,133334,57.8682862625667
413,133672,57.904933430694385
414,134075,57.915003720502746
415,134479,57.93910091828854
416,134898,57.93768934373975
417,135173,57.84054140143975
418,135463,57.844738799652816
419,136078,58.03454973712075
420,136229,57.9311586187684
421,136416,57.8784872779013
